,Rating,Title,Review,Review_Date
100,4.0,A decent package for non gamers and everything thing is decent not the best out there,"The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good",26 February 2022
101,4.0,Nice product,I purchased it 2 months before. Camera quality & battery backup are very good. Others performance is good.,18 April 2023
102,4.0,Good Product,"Great device, but as One-entry-level plus's offering, there are some minor flaws that will be obvious. The first issue is the perplexing placement of the power button (and hence the finger sensor). Daily phone handling can be aggravating, with fingers locking and unlocking the phone as you try to handle it and place it in your pockets. Although this is not a major issue, it is something to consider. The second point is that there is some lag here and there (only a minor amount), which I am hoping will go away with future updates/improvements.",24 March 2023
103,5.0,After use review,Writing review after using it for a year... Best for this amount for gaming and other uses... Fast charging is just 🔥..,14 June 2023
104,4.0,Good product but video editing me slow hai,,8 May 2023
105,4.0,Value for price,It is good. but organizing contact is a bit cozy,20 April 2023
106,4.0,Face,Mobile 📱📱📱📱 mast hai,21 April 2023
107,4.0,Nice phone,"I am happy really,👍👍👍👍",27 April 2023
108,4.0,Love it,Camera quality and battery backup is good,22 April 2023
109,4.0,Nice,Nice in this range,22 April 2023
110,4.0,Good in this price,"After using 6 months, product is good, charging and battery backup is awesome.",21 April 2023
111,4.0,Good,no problem,24 April 2023
112,4.0,Perfact,All function of this brand run smoothly,20 April 2023
113,4.0,Best Smartphone,"It's a great smartphone under 20k. Camera, battery and processor is very good. Overall it is a nice smartphone.",21 April 2023
114,4.0,5G is working 😃,"Performance is good no lag in day to day usesI will basically talk about camera 🤳Primary 64mp Camera is good I say in proper lighting conditions, Portrait shots are nice, Video quality is not good my old K20 pro takes far better video than this ... Rest UW and Macro i really fell it's useless poor quality pictures by UW camera and Macro shots take lot of time to focus...Airtel 5G is working Jio 5G not tested will update my review after testing...",19 March 2023
115,5.0,Camera Picture quality very nice.,Great product given by OnePlus.Service of Amazon is great.In this range brand like one plus provide nice product.,4 June 2023
116,4.0,Awasame,The products good and best quality,3 May 2023
117,4.0,Good,Good,27 April 2023
118,4.0,Its good and worth of money,I like this best brand in this much amount and thats 5G mobile.,26 April 2023
119,4.0,Good 👍,Nice Performance,25 April 2023
120,4.0,Ok,Good,28 April 2023
121,5.0,Best mobile phone with value for money,Here is my mobile ratings after using 15 days :Camera 8/10Battery 8.5/10Fast charging 10/10Display Quality 9/10Fingerprint scanner 10/10Speaker 8/10Selfie camera 9/10Body weight 10/10Smoothness 10/10Body Quality 9/10Multiple apps tasking 10/10Security features 9/10Value for money 8.5/10New Android version update available.,28 May 2023
122,5.0,Loved it,I am using dis mobile and it is very nyc and no problem,7 June 2023
123,3.0,Not as expected,"I bought this mobile for the purpose of camera, calculator , calling and audio purpose but if i compare with nokia 6.1 plus then it is not as expected.1. First image is nokia 6.1 plus and second is one plus nord ce 2 on same day.2. The quality of Audio while listening music or capture video is not as expected, i guess nokia 6.1 plus audio is better than this mobile.3. Some time auto stopped while listening music.4. Connect to call is awesome 5/5 for this purpose.5. Calculator is awesome for researcher purpose.6. During day time heating problem while taking pictures or making video, i observe nokia 6.1 plus is all time cool, nokia has big issue- software problems, charger problems, jack problems otherwise nokia is better than Apple.7. Battery is awesome better than nokia or other mobile phone but drain very fast even not using internet connection.8. Look is awesome but bigger than hand so may be fall during call.9. one plus gave cover free of cost but there is no protection for camera.10. If you are searching data from your SD slot then it is very slow even data is only 200mb , but nokia is very fast even data is more than 128 gb.Over all this is not as expected (5/10) because data consuming more than other mobile even we never use any social media apps.",9 April 2023
124,4.0,"Worst Experience, Product is not working properly","Worst Experience, Product is not working properly, Auto Restart Showing on screen.",20 April 2023
125,3.0,Battery is not upto mark,"Camera , display, sound very in this budget compared to other mobiles of same budget. Battery backup is really a challenge.I am Normal using without media play and gaming still battery backup is not more than 12 hours.",12 June 2023
126,5.0,Best,"I loved it, it is very handy and fast",12 June 2023
127,3.0,"Build quality is poor,","Not as expected,sound clarity is not there,noisy.Earlier I used Redmi note 8.Build,sound quality is better than OnePlus. Photo is reasonable.we have lot of option in this segment",12 June 2023
128,5.0,Prann' 1+,"Phone performance is good, looks good and comfortable in hand",14 June 2023
129,5.0,Budget smartphone,Best budget 5g smart phone smoothly working,14 June 2023
130,4.0,👍,Good phone,16 April 2023
131,5.0,Good quality of phone,OnePlus Nord is nice work,13 June 2023
132,5.0,Very good phone,Very good phone,14 June 2023
133,4.0,Not Upto One Plus,"It is fine, but could have been even better.",14 April 2023
134,4.0,Good,Good,13 April 2023
135,5.0,Phone one plus C2,Best product,14 June 2023
136,3.0,Fingerprint scan at wrong location,"It is waste of fingerprint at lock button, it will not works all time",13 June 2023
137,4.0,Best at budget,All specifications are satisfied one minur i.e heating isse due to software,6 April 2023
138,5.0,Good phone for basic needs,,9 June 2023
139,4.0,"3/5, good as a secondary phone!","Have always used 1+ as my secondary phone, upgrade my old OnePlus for the CE 2 lite.Camera quality 3/5Speed and processing 5/5For the price, this phone is very good!Overall, i am satisfied with the product for the price! Good premium budget phone!",28 March 2023
140,5.0,One plus ce 2 lite,Nice phone,10 June 2023
141,4.0,நல்லதொரு பொருள்,இந்தப் பொருள் எனக்கு ரொம்பவும் பிடித்தது,11 April 2023
142,5.0,Camera quality,"I am facing some issues with the network connectivity. However, overall a very good phone.",2 June 2023
143,4.0,Good,Nice product in this price range,8 April 2023
144,4.0,OIS,Very nice,16 April 2023
145,5.0,Good,Good,13 June 2023
146,4.0,Phone is smooth,It's nice brand,10 April 2023
147,4.0,Nice,Gift item,13 April 2023
148,4.0,Superb,Very nice mobile,9 April 2023
149,4.0,Good product,Phone is not working fast as per expectation.,10 April 2023
150,4.0,camera quality,good product,11 April 2023
151,4.0,Mobil,Very good phone,12 April 2023
152,4.0,Overall good phone at this price.,Everything is fine but i am not fully satisfied with battery beacause it drop very fast so this phone is not for heavy phone users. Although it comes with 33W super vooc charging that takes about an hour  to get fully charged,29 March 2023
153,5.0,Mobiles OS is fearless.,"Awesome mobile, camera is good, good battery backup.",4 June 2023
154,3.0,Average,Average performance,5 June 2023
155,5.0,Really good product,I like this phone 💖 💖💖,6 June 2023
156,3.0,Charger is not working,MobileIs good but having prblm in charger i don’t know how it can stop working in 2 days .. so please thik before buy mobile with Amazon better buy it from store only atlst they can take responsibility of it.. they don’t take responsibility..,18 May 2023
157,5.0,Great Product,Phone is excellent and Amazon service was amazing.,1 June 2023
158,4.0,Good,Camera awsmm Happy,8 April 2023
159,3.0,Bad choise,Poor camera quality as compare to samsung..a huge disappointment.,4 June 2023
160,5.0,Very classy product,I am very satisfied using this phone.Camera quality and other features are awesome.Working very fine.No trouble at all.,26 May 2023
161,5.0,OK,OK,13 June 2023
162,5.0,Phone review,"I got 2 of them, one black andd one aqua, both are working superb and very good",30 May 2023
163,5.0,Feed back,Nice product happy for price of phone,1 June 2023
164,4.0,Good mobile phone 📱,Very good product,8 April 2023
165,3.0,Battery was not good,I have been using it for two months and the battery is not good as they claim. Getting discharged while using the internet.,25 May 2023
166,5.0,A good choice for upgrade,"Nord CE 2 is a decent choice for someone looking to upgrade from an under 15k segment phone. Review after using the 6GB variant for 5 days:Pros:- Decent battery life and excellent charging speed- Smooth performance and display- Comparatively compact and light weight- ""Unofficial"" water resistance (read below)- Design and color is neatCons:- Speaker isn't great- Camera is okayish- Unsure of OS experience in the future, stable and bloat free as of nowDetailed:- Decent battery life and performance. I got around 7 to 8 hrs of screen time from battery at 100% to 20% with normal use with 4G internet (social media, chat, some camera and mobile hotspot tethering at 90HZ display refresh rate). Changing display refresh rate to 60Hz seems to improve battery drain, but 90Hz looks very smooth.- 65W fast charging is great, can charge from 20% to 100% in 30 minutes. Also not much heating during charging.- OS looks clean, some preinstalled apps could be uninstalled or disabled. But surprisingly found 3 file manager apps (of which two can be disabled) and two photos app (OnePlus Gallery and Google Photos app, which can't be uninstalled). Didn't find any bugs or functionality issue, no lags or stuttering. Apps open instantly and work fine. OxygenOS 11.3 with Feb 2022 security patch. I guess a stable Android 11 is better than a buggier Android 12 for most customers. But not sure what will happen from OxygenOS 12 which shares Oppo's ColorOS.- Some heating issue was there on a first day of use, but then got a system update and haven't noticed any heating afterwards.- Saw a rubber seal for the SIM tray, which could mean that there is some degree of water resistance, but there is no official IP rating. Also saw a YouTube video that tests the water resistance and the phone survived 15 min submersion in water. So there seems to be ""unofficial"" water resistance.- Cameras are okayish. Main cam takes good pictures at good lighting, but colors are a bit saturated. In wide angle camera, the exposure and color is less. Photos from selfie cam are a bit soft without any filters or modes. Haven't tested much low light or night photography.- Phone back panel is made of plastic, feels like plastic to touch but the blue color back panel looks really good. Good to hold in hand and use because of comparatively compact and thin size. A smaller bottom chin / bezel would have been better. The case provided is translucent and has a small pattern design (ie its not a plain).Overall it's a good phone to buy, you get some features like headphone jack and expandable memory which is good for people who have been using it from their previous phones.",27 February 2022
167,4.0,Impressive Performance,The Phone came in great packaging and is really smooth to use.,5 April 2023
168,4.0,Good,Camera 📸,8 April 2023
169,5.0,This is my second oneplus mobile,Better than 7T after 2 year of 7t I switched beacuse of budget i got this but i m fully satisfied with this phone,4 June 2023
170,4.0,Ok,I liked this,29 March 2023
171,4.0,Good,Good,4 April 2023
172,5.0,Good,Good,3 June 2023
173,5.0,One plus,Nice smart phone... Price ke hisab sei smart phone😍,27 May 2023
174,5.0,All features are good and good mobile.,It's a good product and works very fine.,29 May 2023
175,4.0,Great budget OnePlus phone,ProsQualityExpandable ramPerformanceBattery charging speed and lifeDaylight cameraSub par night camGreat display and refresh rateConsFront camera is average and feels like Vivo cameraGpu could've been betterNight mode isn't greatWanted less bloatware,12 March 2023
176,4.0,Average,Thik thak,2 April 2023
177,3.0,Good,Good Product,27 May 2023
178,3.0,Ok,Ok,27 May 2023
179,3.0,Good,Good,30 May 2023
180,5.0,Great Phone,Great Phone As Per Cost And 5G,27 May 2023
181,4.0,iqoo is better than this about net speed,iqoo is better than this about net speed,17 April 2023
182,3.0,"Very good product,Battery low problem only ,",Ok,30 May 2023
183,5.0,BEST IN BUDGET,Good Design & Original Product packaging.,29 May 2023
184,5.0,Good,Really enjoying to have it,29 May 2023
185,4.0,Good phone in this range,Good phone,31 March 2023
186,5.0,Very good device,Awesome phone. OnePlus Never disappoints.,25 May 2023
187,5.0,One plus Nord ce2,"It's has amazing features, with one of best camera & outer design.I like this phone.",15 May 2023
188,4.0,Good,Nice,29 March 2023
189,5.0,Very good 👍,This is a good product in price,25 May 2023
190,3.0,Best review,"Not to select this mobile anymore as hanging issue, game not playing properly, photo clarity is average.",17 May 2023
191,4.0,Good phone,Camera avargeOverall good,1 April 2023
192,4.0,One plus Nord ce2,Not better mobile than other brands in this price range,30 March 2023
193,4.0,Nice,Ghhh,2 April 2023
194,4.0,Phone is good,Problem with battery. Charges fast but battery back up not great when compared to Samsung.,1 April 2023
195,5.0,"Phone was stolen, please help me to find.",Product was good. But Lost/Theft,29 May 2023
196,4.0,Better,,1 April 2023
197,5.0,Very good product,Good camera battery life,30 May 2023
198,4.0,Not for calling,"Its not for calling, every single time when you make call or received a call it going to hold or recording or mute or ended, so please don't buy if you want to make phone call with this phone",12 March 2023
199,4.0,Very nice mobile,Very nice mobile but delhivery is  very late about 10 days.,24 March 2023
200,3.0,Problem,Not a good product 😕😞,24 May 2023
201,5.0,Exalent,All is goodProsecerCemara batteryCondition,22 May 2023
202,5.0,Many many Best wishes to Amazon.,"I like it's touch is so smooth, display quality good, i like it's camera too. Good quality pictures. Network connectivity is  best .",7 May 2023
203,4.0,Oneplus,Budget phone,27 March 2023
204,3.0,Camera,Ok ok product,16 May 2023
205,5.0,Super wonderful colour and design one plus,Super wonderful colour and design one plus,21 May 2023
206,3.0,Average Phone. So keep average expectations.,"Writing the reviews after 3 days of UsageDesign: Phone's design is good looking and decent. The phone sits well in the hands but has to be used with a cover due to its glossy finish at the back. The phone comes with a cover and the screen cover as well. There is one speaker besides the charging point and there's a 3.5mm jack as well. Volume buttons are to the left side and the front camera is placed at the top left corner of the phone.Performance: Good performance. I tried gaming on this phone with high specs and found no issues, no major lags found. Yeah the phone heats up a bit after continuous usage. Continuous calls will heat the phone as well. Heating issues reported on other OnePlus devices are still being noticed here in this phone but not to thay extent, seems that OnePlus has worked on it but not to a greater extent! Apps work smoothly as far as performance is concerned. Unlocking phone is quick. Android 12 could have made this phone a perfect buy, but that's not a deal breaker either as OnePlus has promised a guaranteed 2 year Phone updates and 3 years security updates.Battery: Okayish. If you're a gamer or heavy user like viewing lot of videos etc, you'll have to charge your phone twice a day. For a Average user this phone will get 1 day enough to survive. Battery drains are worked but again not to a great extent. But that is coped up with the 65W charger which as per my real time experiments charged from 0 to 80 in 25 mins not 15 mins claimed by OnePlus. Battey improvements must be done by OnePlus further.Camera: Decent, but not impressive. 64MP is what on the papers but realme sensors work good versus this Phone. Night photos are not sharp as well. Colors are thrown by the AI but still would like to have improvements on the camera perspective. Definitely not the OnePlus benchmark cams for sure.Music, Audio, Video, Display: The speakers are not dobly ones but do the job wonderfully. Enough sound and no issues with video calls. Watching videos and graphics are good, impressed here. Phone will give you two options of 60 hz and 90 hz display rates with 90 as default and this too does the job very well. Scrolling and switching between the apps works smooth.Overall its a decent phone. The issue stands with longetivity of the Mediatek Processor and OnePlus support to this phone. As per my views if you're a gamer, would suggest not to go with this phone. If you're a normal user and charging phone twice a day is not a concern for you, go for it. If you are user having expectations from camera performance, don't go with this phone. If you're a user who wants decent performance and camera, then go for this phone.Will update my reviews ad and when I keep using this phone and find anything.",28 February 2022
207,3.0,NOT GOOD ............AS EXPECTED  FROM ONEPLUS,"PERFORMANCE IS NOT GOOD AS EXPECTED THE BRAND  ONEPLUS , OVERALL GOOD BUT NOT BEST AS COMAPRE TO OTHERS AND MANY LACK FOUND.",12 May 2023
208,5.0,Love 💖,Nice mobile ☺️ great thank you Amazon,23 May 2023
209,4.0,Nice product,Tech term : camera and battery life is good,22 March 2023
210,4.0,Nice phone in this range,The phone is good but have less features.,20 March 2023
211,5.0,Good,,23 May 2023
212,4.0,All quality good,Anurag Kumar shakya kunwargaon budaun uttar pradeshVery very nice and good quality products services provideCamera quality good battery quality goodAnd fingerprint scanner good,12 March 2023
213,5.0,TECNO PHANTOM V FOLD,TECNO PHANTOM V is the most powerful phone in this Price.It has 7.85 inch 2K plus AMOLED Display.16+32 MP Selfie Camera.50+50+13MP Rear Camera.Big 5000 mAh battery with 45w fast Charging and charger comes inbox which is a big surprise as no other phone in this segment has inbox charger.,24 April 2023
214,5.0,Camara quality is excellent,like,23 May 2023
